full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,diameter,H
"  4954 Eric (1990 SQ)",2.001469230049108,.4492350918400062,17.4281029577006,358.4630166776793,52.56970991184085,1.10233901667305,2.900599443425165,2.83159788287677,15623,0,10.8,12.5
"  1706 Dieckvoss (1931 TS)",2.125342083361041,.1145212338958861,1.875983778306438,279.7277088192716,339.2128326432171,1.881945285523681,2.3687388811984,3.09849974508091,31320,0,6.111,13.0
"  2616 Lesya (1970 QV)",2.162132458558369,.07615456727069175,1.444286190847957,146.7499957816462,201.438888439075,1.99747619679494,2.326788720321799,3.17930100358734,32028,0,8.534,12.4
"  2847 Parvati (1959 CC1)",2.168988037288179,.1158100290671418,2.453508102322414,246.941903787832,12.22444652257008,1.917797469643552,2.420178604932806,3.19443413049093,27797,0,6.879,12.6
"  2770 Tsvet (1977 SM1)",2.170088614373656,.06384651023875719,2.85939771199349,38.75034893846876,135.3223667877263,2.031536029437038,2.308641199310273,3.1968657946283,23485,0,7.245,12.8
"  1822 Waterman (1950 OO)",2.170274909478672,.1531291947813533,.9567183355826933,221.2445011537991,30.3995788493914,1.837942460136029,2.502607358821316,3.19727746438216,24568,0,6.054,13.0
"   722 Frieda (1911 NA)",2.171828000153399,.1447581802501727,5.638573575480502,45.68248681377153,257.4221084052052,1.857438131034821,2.486217869271977,3.20071012865044,39401,0,8.257,12.3
"  2004 Lexell (1973 SV2)",2.171903792539899,.07980167340453667,2.496717192970928,4.543684028766761,58.46688827626472,1.998582235421556,2.345225349658243,3.20087767753709,28689,0,7.255,12.7
"  1492 Oppolzer (1938 FL)",2.17295629648997,.1165648600165105,6.057789438888763,137.8018060982598,81.41861251749428,1.919665949967622,2.426246643012318,3.20320467599184,23308,0,12.27,12.9
"   703 Noemi (1910 KT)",2.175260276049837,.137570745755347,2.458131151007925,213.7635338040735,174.5854682840905,1.876008097661678,2.474512454437995,3.20830054978757,39254,0,7.250,12.5
"  2080 Jihlava (1976 DG)",2.176880518887088,.06065882869864474,3.850885475424653,23.85025585276392,51.42920918580137,2.044833496394499,2.308927541379677,3.21188577167856,22836,0,5.765,12.9
"  2064 Thomsen (1942 RQ)",2.178132543536289,.3298749483525928,5.695182457180922,302.15577741,2.737364620650357,1.459621183232154,2.896643903840423,3.21465712611244,27534,0,13.61,12.6
"   810 Atossa (1915 XQ)",2.178673456102827,.1800860481838112,2.611828356786341,152.6998046896834,195.837661438158,1.786324763110303,2.571022149095351,3.21585468160056,37191,0,8.104,12.5
"  1651 Behrens (1936 HD)",2.179818868176479,.06600184132495791,5.075118890917718,187.5127437674805,339.1136294971307,2.035946809121945,2.323690927231012,3.21839106184366,29774,0,8.963,12.1
"  3133 Sendai (A907 TC)",2.180499109633068,.1607520519303518,6.566558827071348,37.1594415893129,358.245736442096,1.829979403527247,2.531018815738889,3.21989769194415,40323,0,7.249,12.9
"   707 Steina (1910 LD)",2.180500312648267,.108380002438119,4.270683520853689,281.9431644119992,90.51484149307356,1.944177683447128,2.416822941849405,3.21990035664581,39177,0,9.003,12.1
"  2580 Smilevskia (1977 QP4)",2.182287450005084,.1957635902329917,1.614224210324766,119.3580644427252,221.659645494555,1.755075023871689,2.60949987613848,3.2238597115896,41820,0,5.637,13.0
"  2121 Sevastopol (1971 ME)",2.183543018507195,.1783930159945084,4.378154051401427,145.712166903096,160.3541757837243,1.794014193881944,2.573071843132446,3.22664235981757,29652,0,8.736,12.2
"  1738 Oosterhoff (1930 SP)",2.183719396031572,.2026003735259873,4.877363524444432,44.11128384553722,284.4332185893035,1.741297030719632,2.626141761343511,3.22703331983921,32979,0,7.887,12.5
"  1661 Granule (A916 FA)",2.183853710375251,.09069141709460014,3.03550952627213,261.6865827286857,328.134388467386,1.985796922654019,2.381910498096482,3.22733105282265,37189,0,,12.9
"  1324 Knysna (1934 LL)",2.185246233604704,.163676128440319,4.5189008836511,304.3568473126587,330.0487942666335,1.827573590399497,2.542918876809911,3.23041838173442,30289,0,6.456,12.9
"  1666 van Gent (1930 OG)",2.185491979148879,.1822134269682734,2.687675029894689,263.1108122038421,83.73377117081071,1.787265996016487,2.583717962281271,3.23096332026074,31876,0,7.722,12.5
"  1133 Lugduna (1929 RC1)",2.18559731898598,.1878908516974767,5.376491652218967,58.22992589645169,306.7049158835957,1.774943577253983,2.596251060717978,3.23119691978036,32278,0,8.275,12.22
"   281 Lucretia",2.187743748100272,.1327274870699831,5.304104881703609,31.4134717882436,16.67649828415908,1.897370018061857,2.478117478138687,3.23595802395164,46582,0,11.036,12.02
"  2719 Suzhou (1965 SU)",2.188032547277292,.123101461129754,.624253305639113,125.6549535696566,320.8259983157899,1.918682543708,2.457382550846584,3.23659880250902,40319,0,6.784,13.0
"  1830 Pogson (1968 HA)",2.188194970174898,.0564762120652824,3.954155508913236,147.4618378216477,335.105876636151,2.064614006999116,2.31177593335068,3.2369591999211,33440,0,7.710,12.45
"  1720 Niels (1935 CQ)",2.188392694436847,.1045797918380135,.7301687108474098,127.856349754671,308.7932148681074,1.959531041992812,2.417254346880882,3.23739794498406,32874,0,6.394,12.7
"  2437 Amnestia (1942 RZ)",2.188394173442398,.1485725841633069,2.94611723844227,218.9636192676439,151.3790254537166,1.863258795926136,2.513529550958659,3.23740122693411,32263,0,6.742,13.0
"  1763 Williams (1953 TN2)",2.188632846721122,.203385920636415,4.235396111486355,304.4641999595647,28.86306602180415,1.743495740255649,2.633769953186595,3.23793086339687,23276,0,6.982,12.8
"  1494 Savo (1938 SJ)",2.190425659967859,.1311848292560876,2.456082485776865,195.0197862292567,184.373570904154,1.903075043766823,2.477776276168896,3.24191019276179,29036,0,7.804,12.3
"  5598 Carlmurray (1991 PN18)",2.190469320318267,.113223568832162,5.043165382035146,283.4638506091082,173.70615763476,1.942456566454472,2.438482074182061,3.24200712162104,20202,0,6.864,13.0
"  1150 Achaia (1929 RB)",2.190710926391516,.2047825677813929,2.392987801152274,206.5424134512348,139.5367399844162,1.742091517618307,2.639330335164725,3.24254352051148,32314,0,7.689,12.6
"  3448 Narbut (1977 QA5)",2.191839736526655,.1184454582330872,3.388127800818415,45.26234366703127,349.2203829692809,1.932226274560267,2.451453198493044,3.24505002701075,23731,0,5.972,12.9
"  1563 Noel (1943 EG)",2.191866514119619,.08589764227934094,5.982958356236045,53.64735214060306,116.390413335754,2.003590348365706,2.380142679873532,3.24510949410549,32132,0,7.234,12.4
"  2380 Heilongjiang (1965 SN)",2.191992883601477,.05996043168166439,1.921163229822664,324.6378214099966,108.284464553436,2.060560044057596,2.323425723145358,3.24539013759816,28681,0,6.490,12.9
"  2286 Fesenkov (1977 NH)",2.192303019249604,.09404837626983824,1.34615863938669,59.4850104113616,278.9807748602571,1.986120479997715,2.398485558501494,3.24607892640458,24812,0,6.691,12.9
"  3356 Resnik (1984 EU)",2.192861164366421,.11363853995047,4.096187305847361,108.2932198888934,157.8689251028199,1.943667623333733,2.442054705399108,3.24731864901428,31275,0,4.823,13.0
"  1733 Silke (1938 DL1)",2.192919084108392,.08389650920072199,4.430091967706685,159.3734128693119,306.6174181575336,2.008940827992054,2.376897340224731,3.24744730633874,30165,0,6.715,12.8
"  1978 Patrice (1971 LD)",2.194400027578735,.2138417967646968,4.343879387908406,54.28750843488819,268.8455670698219,1.725145582860798,2.663654472296672,3.25073750828272,23873,0,6.732,12.9
"   254 Augusta",2.19493855135234,.1215973559185845,4.512827412406474,28.47178293280248,233.2474513270349,1.928039827104127,2.461837275600553,3.25193421818503,48178,0,12.467,12.13
"  1468 Zomba (1938 PA)",2.195312701303626,.2713922637708515,9.939634428070487,308.9318929643103,23.16459109892406,1.599521817611932,2.79110358499532,3.25276574229126,29042,0,,12.7
"  1717 Arlon (1954 AC)",2.195679760641456,.1294493573763372,6.187591265966397,340.486986601322,115.8583030417922,1.91145042662219,2.479909094660723,3.25358157682721,31725,0,8.484,12.2
"  2709 Sagan (1982 FH)",2.195788240632196,.0696612140165819,2.732146006389363,241.1190948153567,308.4346550108946,2.042826966066423,2.348749515197969,3.2538227000081,21574,0,6.559,13.0
"  1153 Wallenbergia (1924 SL)",2.196277200546614,.160486436308467,3.334894149015518,280.5079479195106,28.72906287201868,1.843804499485352,2.548749901607876,3.25490960634556,32046,0,8.037,12.1
"   802 Epyaxa (1915 WR)",2.196357727741479,.07880192284106532,5.202275356822378,7.833811161901314,115.6082621962665,2.023280515548617,2.36943493993434,3.25508862141431,37568,0,7.423,12.7
"  1055 Tynka (1925 WG)",2.19799437483752,.2083856409276848,5.277978537716892,147.153615674195,176.6135177126865,1.739963908281557,2.656024841393482,3.25872766226942,42144,0,13.479,12.1
"  4558 Janesick (1988 NF)",2.19814766327575,.3622225844742235,22.18552577307623,254.8375271524539,94.41288467439338,1.401928935628033,2.994366390923468,3.25906856440422,14358,0,,12.6
"  1486 Marilyn (1938 QA)",2.198176705203823,.1247165163407921,.07517990329896143,333.1504671391334,350.1455353863116,1.924027764229322,2.472325646178325,3.25913315284091,29008,0,6.414,12.8
