full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
"    60 Echo",2.393954224018244,.1834889528471646,3.601229332232635,191.5938677693692,271.1428119243162,1.95469007028909,2.833218377747398,3.70409370632004,57365,0,2370,,,8.21
"    73 Klytia",2.664097367728316,.04333197110755756,2.370610723046781,7.024464232913238,52.50397004737012,2.548656777562192,2.779537957894439,4.34843860200002,55998,0,2186,,,9.0
"   118 Peitho",2.436579312584141,.1643916645326699,7.746158498792489,47.6831791236098,33.44839810209955,2.036025983622565,2.837132641545717,3.80346155779389,53065,0,1524,,,9.14
"   123 Brunhild",2.694282063255759,.1203615129051082,6.414351816218845,307.7349209821189,125.882106132319,2.3699941979292,3.018569928582318,4.42255041205414,52902,0,1953,,,8.9
"   125 Liberatrix",2.743964132664273,.07766601425683295,4.663830486978625,169.0027646870138,109.5948605369403,2.530851375216532,2.957076890112015,4.54543914396984,52990,0,3432,,,9.04
"   126 Velleda",2.438868674734054,.1063953011341367,2.924607870156594,23.3148640383248,328.3190625207115,2.179384507659111,2.698352841808997,3.80882330361098,53082,0,2427,,,9.27
"   131 Vala",2.431444493231999,.06772024981108998,4.961437766906967,65.6599821613336,160.2561393738841,2.266786464748529,2.596102521715469,3.79144483730988,52731,0,2044,,,10.03
"   132 Aethra",2.607381656636005,.39003285055486,24.99456349455646,258.3995661892699,255.2196539700205,1.590417156613811,3.624346156658199,4.21032005793463,52764,0,1788,,,9.38
"   136 Austria",2.286909698186964,.08494378179881702,9.578775235266207,186.4612964972872,132.9455361313402,2.092650939790572,2.481168456583356,3.45845179401118,51539,0,2200,,,9.69
"   151 Abundantia",2.592113844378332,.03341777471270423,6.43486260494493,38.86930531843843,131.4086309313597,2.505491167897216,2.678736520859449,4.17339325388933,48645,0,2056,,,9.2
"   155 Scylla",2.75617723194172,.2773901507546696,11.38816129848432,40.99442923872527,45.83831221060108,1.991640814066818,3.520713649816622,4.57581980279456,52004,0,1771,,,11.39
"   158 Koronis",2.870551692010538,.05165304526787976,1.001435208227078,277.8837608568035,143.292004339799,2.722278955519329,3.018824428501747,4.86358219774463,45517,0,2243,,,9.27
"   161 Athor",2.379266584810702,.1375302035786576,9.059520327243165,18.60507814010614,294.9442344885374,2.052045567033789,2.706487602587616,3.67005742922988,43208,0,1874,,,9.15
"   167 Urda",2.853312671465131,.03699258722124529,2.212483051788567,166.2165985710483,132.834478495258,2.747761253596472,2.958864089333789,4.81983587491559,48941,0,2427,,,9.2
"   169 Zelia",2.35838167483604,.1306459076989327,5.49932927486952,354.7652333719299,335.0559874303105,2.050268760226557,2.666494589445525,3.62184065785568,48595,0,2178,,,9.56
"   170 Maria",2.553117578669206,.06367575005588685,14.37805003641789,301.3073592257751,158.7365398913804,2.390545901866575,2.715689255471838,4.07957034330552,43213,0,1549,,,9.39
"   178 Belisana",2.460137851086742,.04330461811089772,1.895032824048706,51.10896919371905,212.670676156157,2.353602520945266,2.566673181228218,3.85875643515656,48314,0,2280,,,9.4
"   182 Elsa",2.41764713003826,.1855706999956871,2.004690768073919,107.1963738167657,310.6210184612777,1.969002659774496,2.866291600302024,3.75921852522021,41652,0,2076,,,9.12
"   183 Istria",2.790840772846655,.3508257688040296,26.39107482749812,141.948797983942,264.1184332557737,1.811741913103095,3.769939632590216,4.66241353709732,40937,0,1883,,,9.68
"   186 Celuta",2.362061200582068,.1498876385466722,13.18476204518802,14.76815681533571,315.6741089808281,2.008017425124105,2.716104976040032,3.63032010762328,49023,0,1854,,,8.91
"   188 Menippe",2.762053710294751,.1786839205735085,11.70449069421992,240.8976852641379,70.15721842977986,2.268519124504679,3.255588296084822,4.59046184045995,39847,0,1729,,,9.22
"   189 Phthia",2.449973731399949,.0370255185100077,5.177777674957878,203.4209337993608,167.5110649050214,2.359262183658968,2.54068527914093,3.8348673324754,50420,0,2051,,,9.33
"   197 Arete",2.738022138033958,.1642328541898618,8.795308423833559,81.60376492810452,246.3369569586652,2.288348947469614,3.187695328598303,4.53068256558779,50676,0,2423,,,9.18
"   204 Kallisto",2.670529057545921,.1744825004470179,8.287796810967118,205.1129759656649,55.14133021308747,2.204568470068891,3.136489645022952,4.3641951666085,50297,0,2128,,,8.89
"   208 Lacrimosa",2.893259838642852,.01265813475324657,1.745177373790958,4.254893071355497,108.2623282788953,2.856636565729154,2.92988311155655,4.92140787903861,42768,0,2450,,,8.96
"   215 Oenone",2.76730146767114,.03560274173847655,1.685124965584989,25.01243719075652,315.3431677384134,2.668777948205137,2.865824987137143,4.60355050806944,41051,0,2456,,,9.4
"   219 Thusnelda",2.354329578384656,.2231099768777549,10.86279481687505,200.8222323292994,142.7936092464623,1.82905516058864,2.879603996180671,3.6125102712302,43615,0,2143,,,9.32
"   220 Stephania",2.349093936563098,.2571549733090203,7.59360283636832,257.8856074374042,78.53790283501597,1.745012748005833,2.953175125120362,3.60046653009744,31514,0,2009,,,11.2
"   226 Weringia",2.712669366069263,.2034883255927287,15.9653530418995,134.9550409093423,154.1254937202452,2.16067281888114,3.264665913257387,4.4679005400076,49480,0,2075,,,9.9
"   232 Russia",2.552916558585603,.1750551006311644,6.065389049751035,152.2431630315878,52.20542567023092,2.106015493519434,2.999817623651772,4.07908854444366,38111,0,1936,,,10.25
"   234 Barbara",2.3848302865833,.2457023951202697,15.37536598940293,144.5471081382342,192.2709527088113,1.798871773214424,2.970788799952176,3.68293810277572,49098,0,3711,,,9.02
"   237 Coelestina",2.76240915221443,.07101974119705441,9.747884325624124,84.24868140691451,199.6014926820088,2.566223569143786,2.958594735285073,4.59134797188524,48585,0,2030,,,9.24
"   239 Adrastea",2.967235773945888,.2350933781120795,6.174355493759378,180.6327440758715,210.0826728801725,2.269658292193939,3.664813255697838,5.11135784387648,48647,0,2252,,,10.4
"   242 Kriemhild",2.863055369579079,.1208077530817394,11.35302656539423,206.9284891910452,279.6683311078805,2.517176083431622,3.208934655726537,4.84454308727038,48389,0,2142,,,9.3
"   243 Ida",2.863914916076813,.04184972249005618,1.12895226607944,323.758932723422,113.396600592101,2.744060871603866,2.98376896054976,4.84672489413116,48380,0,3209,,,9.94
"   249 Ilse",2.377400458094904,.2178970270947924,9.619017735661027,334.7190988684607,42.31708926568908,1.859371966062227,2.895428950127582,3.66574047973828,48341,0,2085,,,11.33
"   277 Elvira",2.885398961330089,.09178533759762346,1.162581767194369,231.2516422314122,137.3477607553038,2.620561643560575,3.150236279099603,4.90136459069292,43271,0,2307,,,9.84
"   278 Paulina",2.756270583895438,.1319892041056573,7.81761084241925,62.00099525444248,139.6405261845576,2.392472623227244,3.120068544563632,4.57605227986306,46375,0,2254,,,9.4
"   280 Philia",2.941685244269781,.1094315110132621,7.440299443324171,9.878138406155401,89.68988168496357,2.619772183063922,3.26359830547564,5.04548018980692,46525,0,2041,,,10.9
"   282 Clorinde",2.339106397991276,.08040354016887033,9.032652916750324,144.9658534624491,296.0205435196025,2.151033962761123,2.527178833221429,3.5775290380146,43615,0,2118,,,10.91
"   285 Regina",3.086099525266938,.2060237840089085,17.60552435935756,311.3519282293964,14.28936058272816,2.450289623243347,3.721909427290529,5.42154533732047,38924,0,1771,,,10.7
"   289 Nenetta",2.879961164462603,.2017469536566129,6.685237777727357,182.0712337296625,189.7553287969272,2.298937772882922,3.460984556042284,4.88751551950546,42174,0,2463,,,9.51
