full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
"  1915 Quetzalcoatl (1953 EA)",2.543899198749512,.5705057510500789,20.40170957509898,162.9428194266083,347.8737918473225,1.092590075771227,3.995208321727795,4.05749553002885,18842,0,51,0,1,18.97
"  2608 Seneca (1978 DA)",2.515201234371298,.5715433303297371,14.68173729312127,167.3664966575312,37.34651156903408,1.077654744429261,3.952747724313335,3.98903005528358,14217,1,65,,,17.52
"  4401 Aditi (1985 TB)",2.580029047538734,.56473885628308,26.64967354458521,22.90145510550172,68.13333049657463,1.122986394054585,4.037071701022882,4.14424188347822,10800,0,613,,,16.0
"  6318 Cronkite (1990 WA)",2.513035980900686,.4627504033961403,25.88326244232475,71.10687371808962,12.21702101354519,1.350127566989878,3.675944394811493,3.98388012817016,15268,0,489,,,15.6
"  6489 Golevka (1991 JX)",2.502473955538411,.6052965473609275,2.276480760200308,211.0620214977193,66.65547373940903,.9877351103903675,4.017212800686454,3.95879079395255,8968,0,1017,20,20,19.2
"  7219 Satterwhite (1981 EZ47)",2.628150139711651,.2420197639711781,2.097340605668688,1.812219247172741,48.46353885495893,1.992085863217818,3.264214416205483,4.26072456320564,22868,0,1186,,,14.3
"  7374 (1980 DL)",2.62440856866785,.2696362810179458,3.935100972938141,331.8560988895745,151.7900741101502,1.916772802340621,3.33204433499508,4.25162911913154,13922,0,817,,,15.0
"  7877 (1992 AH1)",2.731832995187643,.2435949277340061,9.582609033775665,339.2807901402612,159.7919586514989,2.066372334143536,3.397293656231751,4.51532922589138,12677,0,728,,,14.2
"  8201 (1994 AH2)",2.537480771336948,.7069899500800743,9.553473743194955,164.1103568330285,25.13273691703514,.743507367480291,4.331454175193606,4.04214922223773,13221,0,730,0,1,15.7
"  8437 Bernicla (3057 T-1)",2.528752895451976,.04258849685754274,2.447384708322431,230.5032503527487,42.55840222030665,2.421057110710517,2.636448680193435,4.02131220361769,17141,0,1141,,,14.7
"  9126 Samcoulson (1998 FR64)",2.535722913237046,.1553582550982023,1.866462659724804,179.2291842581568,255.3835497830917,2.141777426024008,2.929668400450083,4.03794960774888,14127,0,1176,,,14.7
"  9397 Lombardi (1994 RJ)",2.519959715698997,.1473845476141853,3.173298976647791,216.0913423016085,106.2615599929973,2.14855659299473,2.891362838403265,4.00035561033707,8808,0,646,,,15.4
"  9479 Madresplazamayo (2175 P-L)",2.618741483920374,.09327980774311094,4.542321872001049,352.4649848911256,283.0501538947215,2.374465781771372,2.863017186069376,4.23786525765654,21003,0,780,,,15.1
" 10576 (1995 GF)",2.549560037794614,.08103937605642558,6.666867788819025,66.93314305338393,45.75008517208575,2.342945283113341,2.756174792475886,4.07104654001369,11755,0,1795,,,13.5
" 11471 Toshihirabayashi (1981 EH48)",2.574270022432708,.1398145419679241,6.285366277528799,227.3017577793774,235.1853685883961,2.214349638344522,2.934190406520896,4.13037374339667,14011,0,953,,,14.5
" 11636 Pezinok (1996 YH1)",2.527784787019498,.1177340803090863,7.288766691067975,127.297563640965,152.1481739833299,2.230178369900458,2.825391204138539,4.01900314429944,9673,0,817,,,14.8
" 11769 Alfredjoy (2199 T-2)",2.599533234381715,.0387938614652897,3.061989128572849,181.8025078790253,55.92261586485712,2.498687302212694,2.700379166550735,4.19132428268953,16201,0,1088,,,14.8
" 11979 (1995 SS5)",2.558943009430049,.1700149171838508,13.38047858484944,207.5101063857947,91.78414725766059,2.123884525603606,2.994001493256493,4.09354079605971,9602,0,747,,,15.1
" 12100 Amiens (1998 HR149)",2.597076767072558,.0393173179397394,2.706756597348767,9.229018157252538,236.6163107398891,2.494966674107656,2.699186860037461,4.18538470577298,9575,0,864,,,15.0
" 12201 (1981 ED12)",2.508067361900089,.08029014135440336,11.43477412370822,201.1582492077898,340.847823712236,2.306694278886765,2.709440444913412,3.97207094873446,13258,0,1151,,,14.5
" 12204 (1981 EK26)",2.545560017337964,.1216041924016157,2.881885411179949,163.2618268845616,106.246616240239,2.236009247219738,2.85511078745619,4.06146966376547,14056,0,872,,,15.1
" 12776 Reynolds (1994 PT31)",2.56146782960799,.05592186219956728,3.572733575824589,210.847625665949,43.753554857033,2.418225778612027,2.704709880603953,4.09960072198561,8263,0,1100,,,14.6
" 12862 (1998 KV37)",2.540030961839274,.2078182830742019,6.757671145525868,109.7487297323573,195.6523736587497,2.012166088394522,3.067895835284026,4.04824434631254,8139,0,1070,,,14.7
" 12955 (2162 T-2)",2.626213233059953,.08146257356813333,4.447943890876257,192.8934465939668,86.15376855306187,2.412275144356201,2.840151321763704,4.2560152974062,16201,0,751,,,15.1
" 12958 (2276 T-2)",2.634793820868048,.0667897027404953,2.379660779938074,29.94948114512133,248.7645564083545,2.458816724789777,2.810770916946319,4.27689074987029,16199,0,1114,,,14.9
" 13108 (1993 FD82)",2.544294479580046,.1351643251094086,3.925880899185376,159.9213374825426,91.73278547025348,2.200396633368015,2.888192325792077,4.0584412706297,8774,0,889,,,15.0
" 13200 Romagnani (1997 EQ40)",2.553622351404708,.1011304253600539,10.9832451135274,150.2573263835032,103.2820332367324,2.295373436798209,2.811871266011208,4.08078025095652,8235,0,574,,,15.6
" 13469 (3424 T-3)",2.631371681838623,.03322709564728096,2.295389019902489,152.2227143108193,172.1569854932236,2.543938843282625,2.718804520394622,4.26856104992989,17168,0,930,,,14.8
" 13669 Swammerdam (1997 JS14)",2.536346506042629,.0823188946439337,2.387155764417461,171.290864455756,174.8923805859191,2.327557265231196,2.745135746854061,4.03943923686964,8248,0,1096,,,15.0
" 13671 (1997 JH18)",2.572717279763779,.1977865862871546,5.032003440124978,121.3997516252875,173.420027927332,2.063868311517326,3.081566248010231,4.12663728201702,12990,0,856,,,14.9
" 13893 (1296 T-2)",2.569942613870523,.1474039476431077,2.039518244500639,162.0328601322433,53.27766169190917,2.191122927369761,2.948762300371286,4.11996323816718,15894,0,976,,,14.9
" 13926 Berners-Lee (1986 XT)",2.562752410561254,.2949763077773166,3.271155965972235,354.8239920902,19.47059776756765,1.806801166746478,3.318703654376031,4.10268504485804,11116,0,1041,,,14.6
" 14003 (1993 OO4)",2.597193688573746,.06245672640210555,3.878770701014439,128.4640128071998,188.0143337982891,2.43498147295322,2.759405904194272,4.18566735065481,20676,0,963,,,15.1
" 14027 (1994 TJ1)",2.565518994260291,.2459764272115972,6.347903520216209,181.9898587492359,195.5879853521883,1.934461798108654,3.196576190411927,4.10933033232343,11106,0,878,,,14.7
" 14160 (1998 SB144)",2.549625555199331,.1706109839970283,1.497706651848525,129.2330787267623,226.7449733780387,2.114631430402804,2.984619679995859,4.07120346480465,9660,0,936,,,15.6
" 14214 Hirsch (1999 RP86)",2.516475698360256,.1965745067520344,3.185365090790212,101.0681045384392,270.3106537077282,2.021800729201607,3.011150667518904,3.99206232902664,9326,0,1126,,,14.8
" 14226 Hamura (1999 XR50)",2.70731169087408,.03777063820190984,2.9172941136985,206.5192586204059,268.7595847021654,2.605054800498274,2.809568581249886,4.45467054405126,9023,0,592,,,15.0
" 14277 Parsa (2000 CS13)",2.802038155656453,.05023847141059445,3.886100489254874,187.6979282107093,300.4926224408297,2.661268041882111,2.942808269430794,4.69050139542108,8930,0,883,,,14.7
" 14520 (1997 GC11)",2.607791036899668,.2152331516103055,2.624874131860626,346.8045609390797,5.655526452372001,2.046507953286646,3.169074120512691,4.2113116789263,8599,0,986,,,14.8
" 14929 (1994 WP1)",2.550893232337436,.1650088495099767,3.848602737377367,277.0210458564719,200.2026117942719,2.12997327484665,2.971813189828222,4.07424015366491,8712,0,1185,,,14.5
" 15008 Delahodde (1998 QO6)",2.55571974682799,.2106464362223275,5.605423041704605,24.72995894773769,53.60179730245206,2.017366490175645,3.094073003480335,4.08580885299915,14863,0,842,,,15.0
" 15241 (1989 ST3)",2.606079301162583,.1108960244159959,3.035314415574731,135.9078036872154,307.3345686384574,2.317075467350835,2.89508313497433,4.20716594626858,10083,0,1206,,,14.9
" 15443 (1998 WM19)",2.581642551176671,.2406067600604485,3.75859527554343,209.0356544096574,230.12361677,1.960481901303862,3.202803201049481,4.14813009242845,9156,0,1229,,,14.5
" 15830 (1995 BW1)",2.581005676538382,.2201801164906077,8.999683535746435,131.1990846391073,329.4979246656796,2.012719546015242,3.149291807061523,4.1465952115172,7800,0,743,,,15.0
" 16065 Borel (1999 RE35)",2.661169116336949,.0415581517431071,3.434959370402749,61.02816881762165,165.9979551072853,2.550575846386148,2.77176238628775,4.34127117152347,12925,0,988,,,14.7
" 16069 Marshafolger (1999 RS95)",2.533456944073332,.1818101061572407,5.330308441823663,133.7149073024693,224.4765957453065,2.072848868126561,2.994065020020103,4.03253823680207,13037,0,1020,,,15.1
" 16355 Buber (1975 UA1)",2.593188169620295,.1689262783688652,14.3974366514772,190.5897688236517,204.8377096506761,2.155130543016169,3.031245796224421,4.17598807409385,15456,0,899,,,14.5
" 16678 (1994 CC18)",2.563277663014102,.1736863057314801,12.91701329738089,358.1369201127706,56.68500299846092,2.118071435161161,3.008483890867043,4.10394641668694,10147,0,865,,,14.1
" 17036 Krugly (1999 FD10)",2.528795596018256,.0900765539780794,2.46179194417725,181.2874606260252,325.2451087358137,2.301010403013988,2.756580789022524,4.02141405997155,10353,0,1345,,,14.3
" 17387 (1981 EV23)",2.58532594460802,.1558739023386096,7.094859278623103,358.4764600474264,104.7370478264778,2.182341100804716,2.988310788411324,4.1570108593159,13980,0,1124,,,14.5
" 17969 Truong (1999 JB47)",2.578673343566244,.05214560700450931,1.444282770806825,123.4928398842596,310.5534979410062,2.444206856799635,2.713139830332853,4.1409758580041,11673,0,1323,,,14.4
" 18176 Julianhong (2000 QG22)",2.589194465145777,.1285426690138221,2.560787901360529,122.3082823319382,243.7470169738696,2.256372498000123,2.92201643229143,4.16634478658186,14040,0,871,,,14.7
" 18203 (2837 P-L)",2.536140150814673,.09150600497417663,3.046921202636842,197.3024294729807,325.5641232598333,2.304068097559016,2.76821220407033,4.03894627832797,20974,0,1031,,,15.0
" 18403 Atsuhirotaisei (1993 AG)",2.631270632435688,.3101303525919028,3.64777116455313,174.5923966444121,310.8672163372305,1.815233743433689,3.447307521437686,4.26831517166376,13920,0,901,,,14.8
" 18528 (1996 VX30)",2.540722941241527,.1937342167442636,9.828106409438091,46.58847126292767,80.08737422271159,2.048497972255918,3.032947910227136,4.04989875084088,9223,0,838,,,15.0
" 18647 Vaclavhubner (1998 FD2)",2.538605510809398,.04253900947083347,3.717588832286171,141.2044122631585,40.56806297433734,2.430615746942367,2.64659527467643,4.04483704666924,9230,0,879,,,15.3
" 18676 Zdenkaplavcova (1998 FE73)",2.611985693179677,.08048187019684165,4.902056171891449,77.84521302085101,2.152442291706889,2.401768199665183,2.822203186694171,4.22147666515943,15452,0,1103,,,14.7
" 19066 Ellarie (4068 T-2)",2.713301851069973,.06596449304949645,3.627647378712774,51.70650404070676,20.23947437527062,2.534320269973882,2.892283432166064,4.46946323218019,16020,0,670,,,15.2
" 19103 (1981 ER11)",2.609726303504766,.06453639558445325,2.405449905093652,289.8538467678684,212.068754751699,2.44130397441463,2.778148632594903,4.21600043040434,14006,0,643,,,15.5
" 19105 (1981 EB15)",2.572836566041639,.1386678098027723,2.593617760037767,257.4510651100583,215.2770732691859,2.216066954448159,2.929606177635119,4.12692428804243,14478,0,823,,,15.0
" 19106 (1981 EV15)",2.621315190219025,.04544942176442057,10.45896001107552,346.628043173514,218.0530107878485,2.502177930561279,2.740452449876772,4.24411427077814,13493,0,597,,,15.0
" 19182 Pitz (1991 TX2)",2.643602473084421,.09102992933116733,2.401538738277868,256.8636517180935,190.9445310550031,2.402955526779846,2.884249419388995,4.29835644086272,12950,0,973,,,14.6
" 19317 (1996 WS1)",2.557307036278392,.04691565516335951,4.222938126779573,263.5564659607231,192.4184759791341,2.437329301217522,2.677284771339262,4.08961582449741,7728,0,808,,,14.6
" 19331 Stefanovitale (1996 XL33)",2.540319758666094,.1804870779217957,9.095948040484261,73.39743124154373,84.42119998277516,2.081824868437449,2.998814648894738,4.04893478278952,9613,0,912,,,14.8
" 19356 (1997 GH3)",2.501353410723585,.5630921763966859,3.004833105566525,186.6991787173805,333.8867544034282,1.092860874741968,3.909845946705202,3.95613212140111,8400,0,630,,,16.8
" 19401 (1998 ES11)",2.517931163738036,.07845823909242459,4.196662155293012,46.11233755398895,108.1114225058253,2.320378718475211,2.715483609000862,3.99552619034799,7808,0,889,,,15.1
" 19424 Andrewsong (1998 FH61)",2.527460144823748,.1010596426644961,4.52552951374788,196.0829808721489,37.7334663579536,2.272035925739105,2.782884363908392,4.01822893117047,8280,0,1034,,,14.9
" 19434 Bahuffman (1998 FD75)",2.575237247721964,.1142668560588528,.7430796218032597,24.55805703164614,148.417121135059,2.280972983819122,2.869501511624806,4.13270180755013,14947,0,877,,,15.1
" 19595 Lafer-Sousa (1999 NW31)",2.560415060401074,.0527185196651536,1.79159621972509,138.9561596364279,156.6335532767609,2.425433768688365,2.695396352113784,4.09707356361815,7710,0,940,,,14.8
" 19837 (2000 SE271)",2.558093615000502,.1604779886857766,7.474507286253099,173.0527452222831,29.07416648615658,2.147575896795293,2.968611333205709,4.09150280096586,8725,0,605,,,14.7
" 19934 (1981 EG11)",2.561490872022945,.237107646132784,5.80053580588534,211.6114881041167,270.3099532668584,1.954141800766972,3.168839943278917,4.09965604080262,22745,0,602,,,15.5
" 20022 (1991 VO7)",2.633754860404248,.1044922290981784,2.066038242479519,131.4175945374603,351.1425348540588,2.358547944142447,2.90896177666605,4.27436128307447,9518,0,477,,,15.7
" 20113 (1995 SL35)",2.62413395865975,.05141440865522603,22.25832255913267,18.03241937022654,64.9123479906597,2.489215662943162,2.759052254376339,4.25096182057618,14366,0,640,,,14.7
" 20173 (1996 XO19)",2.571846508457557,.17162442891301,4.717553806243999,130.4841579635285,324.342186758086,2.13045482019161,3.013238196723504,4.12454238416781,9161,0,832,,,14.6
" 20189 (1997 BS2)",2.607256741904444,.1724205606603961,3.396202110970949,358.4050605406834,96.34926542834192,2.157712072679682,3.056801411129205,4.21001749883323,9644,0,694,,,15.1
" 20306 Richarnold (1998 FC106)",2.563867957091745,.1049182351465814,4.648340904243726,259.6698713922885,14.88070619906042,2.294871455884808,2.832864458298681,4.10536413750101,9607,0,751,,,14.8
" 20311 Nancycarter (1998 FH117)",2.579810260761941,.08339158167270297,4.00285700525861,301.5492576670716,312.2173042129181,2.364675802701534,2.794944718822347,4.14371474633086,9611,0,748,,,14.9
" 20324 Johnmahoney (1998 HF22)",2.524913412408409,.03959398171062608,.6530880612347048,30.46694028234013,99.69250162705571,2.424942036936596,2.624884787880223,4.01215715851782,14105,0,816,,,15.4
" 20335 Charmartell (1998 HK57)",2.512169363495302,.02427879578857063,2.842873203534825,207.6942745453504,238.9143627641254,2.451176916532696,2.573161810457908,3.98181955150816,8303,0,826,,,14.9
" 20398 (1998 NQ)",2.636330881045477,.03360888198844932,15.49558216884163,103.2864062942847,44.02038401504507,2.547726747581915,2.724935014509038,4.2806338115028,7678,0,693,,,14.6
" 20513 Lazio (1999 RC34)",2.555740943956434,.0726214955918415,2.735920039561337,196.7872775897143,150.2495695196192,2.370139214261013,2.741342673651856,4.08585968462579,9696,0,929,,,14.7
" 20534 Bozeman (1999 RU74)",2.537350367592613,.0405225013650584,4.259028611991376,76.85193496038686,177.5832398623013,2.43453058385821,2.640170151327016,4.04183763093774,8245,0,739,,,15.2
" 20581 Prendergast (1999 RQ152)",2.572995945942676,.1455910767574295,2.987770245069762,265.3532456219536,281.4489625057807,2.198390695680381,2.947601196204971,4.12730777079817,7740,0,1165,,,14.5
