full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
"  6178 (1986 DA)",2.822403680347508,.581753014285205,4.305726631472433,64.64168697273476,127.3739578179391,1.180461831775689,4.464345528919327,4.74173082790473,14732,0,420,1,1,15.1
" 14827 Hypnos (1986 JK)",2.840299731004103,.6660020546522312,1.980797804286116,57.97218323031505,238.0952621388542,.948654274327191,4.731945187681015,4.78690117117808,7058,0,183,0,10,18.3
" 18224 (6726 P-L)",2.932570536488389,.05810738106118588,3.02205429012295,118.1208953871251,210.7026615077536,2.762166542835852,3.102974530140926,5.02204850072129,20973,0,800,,,14.9
" 20089 (1994 PA14)",2.861260611134637,.07825588830853049,1.528396231298191,201.1594031494355,174.6960495337314,2.637350120328088,3.085171101941187,4.83998846603728,9634,0,905,,,14.9
" 27611 (2001 KB17)",2.844339757738021,.0849933300640416,14.31384277543913,220.0745335877818,302.3108306822461,2.602589849894318,3.086089665581725,4.79711809504335,7861,0,420,,,15.0
" 32058 Charlesnoyes (2000 JW43)",2.855101050136077,.1994871611426586,4.313333775490398,62.481953257061,244.8135075789243,2.285545046869008,3.424657053403147,4.82436799766627,8745,0,716,,,14.8
" 32732 (1975 SH1)",2.931271019435323,.108276457445702,3.079228023787622,61.11369883424643,286.0343403923086,2.613883377637615,3.248658661233032,5.01871072186659,15491,0,629,,,14.7
" 33996 (2000 OK2)",2.875179814265639,.1849982162866821,.7363335074880923,245.1074037743262,139.4657253147073,2.343276677123022,3.407082951408256,4.87534909437557,9217,0,857,,,15.0
" 34874 (2001 UU9)",2.843642420541636,.08582059782913495,1.455196580132055,5.21373733222243,284.4804582625427,2.599599327998464,3.087685513084807,4.7953540632506,9688,0,794,,,14.8
" 36590 (2000 QG132)",2.834907667486399,.08304430333497427,.9884996015384914,278.7320663987776,73.96711437869493,2.599484735221014,3.070330599751784,4.77327636555161,9303,0,747,,,14.9
