full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
"  4954 Eric (1990 SQ)",2.001469230049108,.4492350918400062,17.4281029577006,358.4630166776793,52.56970991184085,1.10233901667305,2.900599443425165,2.83159788287677,15623,0,2446,,,12.5
"  1492 Oppolzer (1938 FL)",2.17295629648997,.1165648600165105,6.057789438888763,137.8018060982598,81.41861251749428,1.919665949967622,2.426246643012318,3.20320467599184,23308,0,2010,,,12.9
"   149 Medusa",2.174475835505977,.06517744386264435,.9393706598038738,159.6198709639897,250.4754511536598,2.03274905880661,2.316202612205344,3.2065652442604,46172,0,2311,,,10.79
"   244 Sita",2.175117845486093,.136886071489235,2.845278735305738,208.9741973428372,166.2505677162554,1.877374508591373,2.472861182380813,3.20798544778752,48329,0,2158,,,11.9
"  2064 Thomsen (1942 RQ)",2.178132543536289,.3298749483525928,5.695182457180922,302.15577741,2.737364620650357,1.459621183232154,2.896643903840423,3.21465712611244,27534,0,1917,,,12.6
"   782 Montefiore (1914 UK)",2.179525706142154,.03904287459516551,5.261479581660255,80.4754530017713,81.18403681963326,2.094430757320306,2.264620654964001,3.21774182555088,37185,0,2119,,,11.3
"   453 Tea (1900 FA)",2.183371243252358,.1088446031948756,5.550588727607446,11.72360427045296,220.4991374083318,1.945723066653453,2.421019419851263,3.22626161640547,42987,0,2323,,,10.5
"   281 Lucretia",2.187743748100272,.1327274870699831,5.304104881703609,31.4134717882436,16.67649828415908,1.897370018061857,2.478117478138687,3.23595802395164,46582,0,2679,,,12.02
"   512 Taurinensis (1903 LV)",2.18918664286757,.2544466821309316,8.746841234609901,107.0353797234735,249.3312476688471,1.632155365024564,2.746217920710576,3.23915989575667,39734,0,2077,,,10.68
"  1188 Gothlandia (1930 SB)",2.190431114206445,.1806154215016054,4.816751709211957,5.450798833821736,7.154585541324677,1.794805475243817,2.586056753169073,3.2419223014786,31792,0,1933,,,11.6
"   857 Glasenappia (1916 S33)",2.190459945395506,.08839474216475862,5.300806797900344,82.91581959216954,239.1613369247534,1.996834803300039,2.384085087490973,3.24198630859237,40759,0,2202,,,11.32
"   800 Kressmannia (1915 WP)",2.19268817821955,.201586201323454,4.262177408094828,325.1723383218297,347.5937327829176,1.750672497685426,2.634703858753674,3.24693440439952,41320,0,2377,,,11.61
"   352 Gisela (1893 B)",2.193948016538874,.1494914154772928,3.384706011860664,247.2834844019208,144.666986525278,1.865971622062879,2.52192441101487,3.24973316070221,45463,0,1935,,,10.01
"   254 Augusta",2.19493855135234,.1215973559185845,4.512827412406474,28.47178293280248,233.2474513270349,1.928039827104127,2.461837275600553,3.25193421818503,48178,0,2518,,,12.13
"  1058 Grubba (1925 MA)",2.196206017334037,.1875932050825449,3.693194034125934,221.7452385617478,94.49011982543158,1.784212691520774,2.6081993431473,3.25475136604352,40646,0,2123,,,11.98
"   913 Otila (1919 FL)",2.197630206897464,.1704225735879035,5.805414676675454,94.92971740830428,188.6105087794729,1.823104411243482,2.572156002551447,3.25791782740529,39641,0,2245,,,11.9
"  1055 Tynka (1925 WG)",2.19799437483752,.2083856409276848,5.277978537716892,147.153615674195,176.6135177126865,1.739963908281557,2.656024841393482,3.25872766226942,42144,0,2367,,,12.1
"   341 California (1892 J)",2.19897021013776,.1945121334800844,5.669010628058143,29.04517706085549,293.7938730403578,1.771243823104715,2.626696597170805,3.26089805072545,45778,0,2184,,,10.55
"   496 Gryphia (1902 KH)",2.199243106745275,.07884915782215982,3.791959723738596,207.6060704192081,258.8318618625887,2.02583463993222,2.37265157355833,3.26150509552763,42156,0,2131,,,11.61
"   736 Harvard (1912 PZ)",2.201625445851123,.165688708964081,4.375864199197166,135.9330311935022,200.6439716245105,1.836840968105581,2.566409923596665,3.26680608859668,38399,0,2184,,,11.64
"  1088 Mitaka (1927 WA)",2.201830172916343,.1954109879805841,7.652373591196699,54.4935913296763,319.6284533012584,1.7715683634613,2.632091982371386,3.26726176499616,32224,0,1905,,,11.39
"   951 Gaspra (1916 S45)",2.20941898987951,.1735215604218289,4.106951998004785,253.0574268945227,130.010652091879,1.826037159129996,2.592800820629023,3.28416770340695,37819,0,2261,,,11.46
"   440 Theodora (1898 EC)",2.210191099671568,.1069469584671802,1.595689804123458,292.114406137692,179.1110435253866,1.973817883930461,2.446564315412675,3.28588939556526,43598,0,2311,,,11.5
"  2675 Tolkien (1982 GB)",2.212601543111049,.1020803201795275,2.753379638727986,5.904155391656762,1.770741945997313,1.986738469160556,2.438464617061541,3.29126626750009,29386,0,2102,,,12.2
"  1089 Tama (1927 WB)",2.214702432664393,.126926353946993,3.726646369464198,71.48346822791919,354.4785837444435,1.933598327808766,2.49580653752002,3.29595502046354,45012,0,2080,,,11.7
"   443 Photographica (1899 EF)",2.21565154022133,.04031416346695262,4.235502124676441,175.4457186981963,349.8475216220374,2.126329401843042,2.304973678599618,3.29807396264869,43502,0,2065,,,10.28
"   905 Universitas (1918 ES)",2.215799185082619,.1537848253431356,5.325932313330473,37.17780757563917,343.2200683915869,1.875042894409226,2.556555475756012,3.29840362986572,36307,0,2147,,,11.59
"  1120 Cannonia (1928 RV)",2.216251565556943,.155934185026308,4.049057353542901,158.6662155643827,219.7804298554398,1.870662183868542,2.561840947245345,3.2994137910516,27361,0,2706,,,12.0
"  1110 Jaroslawa (1928 PD)",2.218566326646561,.2409941630086938,5.855843583031926,241.7451404062159,78.60015148710839,1.683904791677101,2.753227861616022,3.30458424325123,32620,0,2307,,,11.4
"   540 Rosamunde (1904 ON)",2.2190386992017,.08956377498023969,5.583283403965196,202.1704091788421,337.7200812277091,2.020293216473955,2.417784181929445,3.30563970729477,41480,0,2500,,,10.76
"   367 Amicitia (1893 AA)",2.219204268763935,.09526874162562678,2.941544429800108,83.45061483478845,55.64921896329717,2.007783470668575,2.430625066859294,3.30600968069486,40903,0,2304,,,10.7
"  1382 Gerti (1925 BB)",2.219964791799997,.1317860323506735,1.561926560789334,353.0420186561671,246.9147926078055,1.927404439930486,2.512525143669507,3.30770928443721,34033,0,1968,,,12.0
"   364 Isara (1893 T)",2.220553803221271,.1497198875881273,6.003489551616874,105.5392143007649,312.7605534286777,1.888092737419593,2.553014869022947,3.30902579705479,43067,0,2122,,,9.86
"   823 Sisigambis (1916 ZG)",2.221318757243387,.08978131783296971,3.645865685949262,255.0152777191431,218.5909765105679,2.021885831890981,2.420751682595792,3.31073582356241,37251,0,2125,,,11.2
"   770 Bali (1913 TE)",2.221617011756214,.1505741738358876,4.38434714702499,44.69691442818694,18.2040860715133,1.887098865631268,2.55613515788116,3.3114026403184,41501,0,2154,,,10.9
"   291 Alice",2.222292453914441,.09218519749349448,1.855514464846587,161.6525276115061,331.5522841059064,2.017429985162035,2.427154922666846,3.31291291251857,46192,0,2668,,,11.45
"   813 Baumeia (1915 YR)",2.223132017050035,.02597440050563033,6.297408312037303,51.946703645224,316.44638643205,2.165387495662288,2.280876538437783,3.31479047518721,40386,0,2033,,,11.5
"  1249 Rutherfordia (1932 VB)",2.224063965606799,.07670229145406948,4.87554967655962,259.002685025109,223.3250263765569,2.053473163104333,2.394654768109265,3.31687505984527,31040,0,1980,,,11.54
"   901 Brunsia (1918 EE)",2.224234355523536,.220505435046904,3.446530514312876,265.0804435728648,68.35934052616413,1.733778591312548,2.714690119734523,3.31725623563321,40786,0,2213,,,11.35
"  1123 Shapleya (1928 ST)",2.224882339539259,.1571309502441963,6.421588741550869,79.88710247035117,317.5946587917108,1.875284463345925,2.574480215732593,3.31870596072098,32549,0,1810,,,11.6
"   967 Helionape (1921 KV)",2.225696727657237,.1682436357327071,5.41299031962678,82.35153955922274,231.9972069863197,1.851237418157795,2.600156037156679,3.32052827866656,34114,0,2537,,,11.8
"   825 Tanina (1916 ZL)",2.225988768079453,.07481619224602844,3.399475562216304,101.4092052766184,111.6299988618656,2.05944876446932,2.392528771689585,3.32118184499345,41435,0,2152,,,11.50
"   915 Cosette (1918 b)",2.227638622337362,.1402395625106259,5.546100195931024,9.342013632630261,39.5053817703371,1.915235556508997,2.540041688165727,3.32487491025725,36114,0,2130,,,11.6
"  1527 Malmquista (1939 UG)",2.227721425012377,.1983679451871505,5.19273783844146,16.1359304908975,304.4182852616157,1.785812903483281,2.669629946541473,3.3250602933972,32311,0,2044,,,11.9
